_id,target_words,responses,age,gender,readingSkills,writingSkills,listeningSkills,speakingSkills,average_rating
6638a639d8a5b440f8968c0c,"['लोमड़ी,रस,डिब्बा,ब्रश,जूस,मोती,सोफा,मधुमक्खी,खाना,छत,रस,चोंच']","['विदाइ ,लोमड़ी ,रस ,नाख़ून ,ब्रश ,पानी ,मोती ,किताब ,हवा ,पानी ,भालू ,पेड़ ,पिंजरा ']",21.0,Male,4.0,4.0,4.0,4.0,4.0
6638aa88d8a5b440f8968c1c,"['छेद,गार्ड,डिब्बा,धागा,चिंगारी,पोशाक,तिल,चेहरा,धागा,सड़क,ज्योति,चमगादड़']","['विदाई ,छेद ,गार्ड ,डिब्बा ,धागा ,चिंगारी ,पोशाक ,तिल ,चेहरा ,धागा ,सड़क ,ज्योति ,चम्गादड़ ']",21.0,Male,4.0,4.0,4.0,5.0,4.25
6638ab8fd8a5b440f8968c22,"['पिन,गली,धागा,ताज,अंगूठा,कांटा,भाला,बोर्ड,गार्ड,दिल,मिट्टी,बकरी']","['विदाई ,पिन ,गली ,धागा ,अंगूठा ,अंगूठा ,अंगूठा ,गाल ,बांसुरी ,होठ ,बिल ,मिट्टी ,तालाब ']",21.0,Male,4.0,4.0,4.0,4.0,4.0
6638af3ad8a5b440f8968c2c,"['मधुमक्खी,झाड़ू,चाय,पतंग,कमरा,स्टोव,रेलगाड़ी,गेंद,लोमड़ी,कपड़ा,सोफा,दुनिया']","['धन्यवाद ,,,ईट ,दीवार ,वर्षा ,,रस्सी ,गेंड ,लोमड़ी ,कपड़ा ,सांफ ,दुनिया ']",20.0,Female,5.0,5.0,4.0,3.0,4.25
6638b065d8a5b440f8968c32,"['बनियान,सागरतट,स्याही,चप्पू,चिड़िया,जूस,लहर,हवाईजहाज,दस्ताना,घोंघा,टैंक,घर']","['विदाई ,बनियान ,चाल ,बाहार ,,चिड़िया ,जूस ,,हवाई जहाज ,कहानी ,रात ,टैंक ,घर ']",21.0,Male,5.0,5.0,5.0,5.0,5.0
6638b32bd8a5b440f8968c3a,"['ब्रश,पैंट,चावल,मछली,फ़ोन,रस,मोज़ा,गाल,द्वार,दीवार,जड़,रक्षक']","['विदाई ,रसोइ ,,रस ,मछली ,फ़ोन ,रस ,म ,गाल ,दिवारा ,द्वार ,खच्चर ,रक्षक ']",20.0,Female,4.0,2.0,4.0,4.0,3.5
6638b50fd8a5b440f8968c44,"['नाव,दस्ताना,सिक्का,कान,बैंक,जूता,बछड़ा,गेंद,गुफा,रस,फूलदान,चप्पू']","['विदाड ,नाव ,दस्ताना ,तेज ,,बोई ,,,,,रस ,,']",20.0,Female,2.0,2.0,2.0,2.0,2.0
6638b7d8d8a5b440f8968c54,"['छेद,गाड़ी,खिलौना,गार्ड,बैंक,नाखून,दिल,सींग,दलदल,प्लेट,गुलाब,कलम']","['विदाई  ,चाभी ,बैंक ,बैंक ,सीढ़ी ,बैंक ,,दूध ,दूध ,,,गुलाब ,']",20.0,Female,4.0,4.0,5.0,5.0,4.5
6638b8e7d8a5b440f8968c5e,"['लड़का,कमरा,बकरी,हवाईजहाज,होंठ,धुआं,कुल्हाड़ी,झाड़ी,कटोरा,गुड़िया,पेड़,खिलौना']","['वी ध यी ,बेदिया ,धुआँ ,बकरी ,एहीस ,दिंडी ,हटिया ,धिन्द्र ,टेकरी ,कमरा ,चाक ,सुरत ,आँख ']",21.0,Male,2.0,2.0,1.0,3.0,2.0
6638b9d3d8a5b440f8968c64,"['चोंच,पंख,खलिहान,मोती,स्याही,दुकान,सितारा,ईंट,आकाश,सागरतट,पाइप,बिस्तर']","['धन्यवाद ,पु च ,पूँछ ,phool,विद्यां ,,jungle,chonch,daldal,ulaav,सागरतट ,पाइप ,घर ']",22.0,Male,4.0,3.0,4.0,4.0,3.75
6638b9e0d8a5b440f8968c70,"['दीवार,पैर,ताज,लड़का,चांद,सागरतट,पाइप,वानर,गुलाब,भालू,ब्रश,कीचड़']","['वीदायी ,दीवार ,पैर ,तेज ,लड़का ,चैर ,सागरतट ,पाईप ,वानर ,गु लाब ,गए ,ब्र श ,कीचट ']",21.0,Female,4.0,4.0,4.0,4.0,4.0
6638b9dad8a5b440f8968c68,"['मोती,पैंट,कान,चोंच,हाथ,मुस्कराहट,जूस,जूस,लड़का,दलदल,कोहरा,सड़क']","['विदाइ ,मोती ,मुँह ,कान ,घड़ी ,सत्य ,बोर्ड ,संकेत ,जूस ,सेम ,सेम ,फूलदान ,बल्ला ']",20.0,Male,4.0,4.0,4.0,5.0,4.25
6638b9e2d8a5b440f8968c74,"['चाय,पैसा,पिन,जूता,धुआं,बैंक,दीवार,साबुन,साँप,मेंढक,बंदर,घर']","['विदाई ,गाड़ी ,,पिन ,,,,दीवार ,साबुन ,,,बंदर ,घर ']",23.0,Male,5.0,4.0,5.0,5.0,4.75
6638d31cd8a5b440f8968c80,"['गेंद,सेम,सींग,ताला,जड़,नकद,दुकान,नकद,छाल,मटर,बेल,पंखा']","['विधाई ,गेंद ,,,,,,दुकान ,नकद ,छाल ,मटर ,बेल ,पंखा ']",20.0,Male,4.0,4.0,4.0,4.0,4.0
6638e280d8a5b440f8968c8c,"['नाशपाती,घड़ी,खाना,कटोरा,गुफा,सोफा,पैंट,चोंच,पोशाक,बछड़ा,चिड़िया,विदूषक']","['विदाई ,नाशपाती ,छड़ी ,,,,,पेंट ,चोंच ,,बगीचा ,गार्डन ,']",21.0,M,4.0,4.0,4.0,4.0,4.0
6638e2ebd8a5b440f8968c92,"['पेड़,बनियान,बैंड,खच्चर,डाली,झंडा,हथेली,बैंड,दीवार,पौधा,पहिया,हिरन']","['धन्यवाद ,गुलाब ,कलम ,कुत्ता ,कौआ ,घड़ी ,अंगूर ,,,किचोर ,,,']",24.0,Male,3.0,1.0,1.0,3.0,2.0
6638f1c2d8a5b440f8968c9c,"['मोज़ा,गार्ड,पूंछ,पिन,दांत,सोना,चप्पू,छड़ी,रस,कवच,घास,घर']","['विदाई ,पूँछ ,मटर ,गांजा ,सिग्न ,बकरी ,आसमान ,सेना ,छड़ी ,रस ,कवच ,घास ,घर ']",22.0,Male,4.0,3.0,5.0,5.0,4.25
6638f3d4d8a5b440f8968ca2,"['ब्रश,खच्चर,सोना,अध्यक्ष,जाल,नमक,भेड़,जेल,मुस्कराहट,नाखून,नाशपाती,सींग']","['विदाई ,ब्रश ,सोना ,सोना ,,फर्श ,किनारा ,रेल ,,,सूरज ,नाशपती ,सिंह ']",20.0,Male,5.0,5.0,5.0,5.0,5.0
6638f55dd8a5b440f8968caa,"['नमक,फर्श,फर्श,रेलगाड़ी,हवाईजहाज,लोमड़ी,मटर,छेद,गुड़िया,डाली,राजकुमार,पत्ता']","['विदाई ,,,,,,,,,,,,']",21.0,Male,2.0,2.0,2.0,4.0,2.5
6638fbf6d8a5b440f8968cb4,"['द्वार,तंबू,जहाज,पूंछ,कचरा,फिल्म,नकद,खिलौना,घर,गाड़ी,कपड़ा,कटोरा']","['विदाई ,,,,पूंछ ,कचरा ,फिल्म ,,खिलौना ,,गाड़ी ,कपड़ा ,कटोरा ']",21.0,Female,4.0,4.0,4.0,4.0,4.0
6638fc88d8a5b440f8968cba,"['सूअर,मोज़ा,अंगूठा,मेंढक,बिल्ला,आकाश,पहाड़,बैग,चूहा,बहार,बादल,दांत']","['वि धा ई ,,,,,आकाश ,,,,चूहा ,बाहर ,,दांत ']",20.0,female,4.0,4.0,3.0,1.0,3.0
66390ebed8a5b440f8968cc2,"['कांच,सीढ़ी,टीला,घास,पिंजरा,गुड़िया,बिस्तर,दरवाजा,गड्ढा ,ताज,कप,सूरज']","['विदाई ,,,,,,,बिस्तर ,,घड़ा ,ता ज ,,']",20.0,Female,2.0,1.0,3.0,2.0,2.0
66391d45d8a5b440f8968cd8,"['गुड़िया,स्याही,चांद,घड़ी,चींटी,हाथगाड़ी,सूअर,चट्टान,सड़क,सिक्का,रोटी,लड़का']","['धन्यवाद ,,,,,चींटी ,,,,सड़क ,सिक्का ,,']",21.0,Male,4.0,3.0,3.0,4.0,3.5
66391dabd8a5b440f8968ce0,"['गड्ढा ,कमरा,गाय,पुल,हाथ,लकड़ी,चेहरा,चिड़िया,मुँह,बेंच,पत्ता,पोशाक']","['विदाई ,गड्डा ,कमरा ,पुल ,बैल ,चिड़िया ,,चेहरा ,चिता ,नाक ,बेंच ,पत्ता ,पोशाक ']",20.0,Male,4.0,3.0,3.0,4.0,3.5
66391dd3d8a5b440f8968ce6,"['टीला,सेम,जड़,ज़मीन ,नाखून,पूंछ,मधुमक्खी,जेल,गांजा,डाली,पहिया,कीचड़']","['विवाद ,टीला ,सेम ,ज़मीन ,ज़मीन ,नाखून ,पूछ ,मधुमखी ,जेल ,गांजा ,डंडी ,पहिया ,कीचड़ ']",21.0,Male,3.0,3.0,2.0,3.0,2.75
66391e2ed8a5b440f8968cee,"['खेत,घोड़ा,फूलदान,धुआं,पहाड़,नाशपाती,दरवाजा,मछली,अंगूठा,गार्ड,पार्क,ब्रश']","['विदाई ,घोड़ा ,मछली ,धन्यवाद ,,कटोरी ,धन्यवाद ,पेड़ ,मछली ,धन्यवाद ,गार्ड ,पार्क ,ब्रश ']",19.0,Male,3.0,3.0,2.0,2.0,2.5
66391e2ed8a5b440f8968cf0,"['खेत,घोड़ा,फूलदान,धुआं,पहाड़,नाशपाती,दरवाजा,मछली,अंगूठा,गार्ड,पार्क,ब्रश']","['विदाई ,घोड़ा ,मछली ,धन्यवाद ,,कटोरी ,धन्यवाद ,पेड़ ,मछली ,धन्यवाद ,गार्ड ,पार्क ,ब्रश ']",19.0,Male,3.0,3.0,2.0,2.0,2.5
66391e2fd8a5b440f8968cf6,"['खेत,घोड़ा,फूलदान,धुआं,पहाड़,नाशपाती,दरवाजा,मछली,अंगूठा,गार्ड,पार्क,ब्रश']","['विदाई ,घोड़ा ,मछली ,धन्यवाद ,,कटोरी ,धन्यवाद ,पेड़ ,मछली ,धन्यवाद ,गार्ड ,पार्क ,ब्रश ']",19.0,Male,3.0,3.0,2.0,2.0,2.5
